task_uid,label,family,k,difficulty,base_uplift,skill_uids,prompt
f3d9-ac77-bc06-5a91,nd-Asm-MP-5,logic,2,0.024,0.6,21f1-3aa7-a74f-b6b6|c061-fca8-b5c1-d0b6,"Using natural deduction, prove P&Q from premises P, Q. Cite the inference rule at each line (rules to use: Asm, MP)."
6d35-8b62-1318-2d78,nd-Asm-∧I-0,logic,2,-0.052,0.6,21f1-3aa7-a74f-b6b6|cec7-5b5a-c47c-fe5c,"Using natural deduction, prove P from premises ~~P. Cite the inference rule at each line (rules to use: Asm, ∧I)."
8251-b2a7-edca-50aa,nd-Asm-∧I-1,logic,2,0.35,0.6,21f1-3aa7-a74f-b6b6|cec7-5b5a-c47c-fe5c,"Using natural deduction, prove R from premises P, Q. Cite the inference rule at each line (rules to use: Asm, ∧I)."
3865-1ed7-4e28-8aa4,nd-Asm-∧I-2,logic,2,0.085,0.6,21f1-3aa7-a74f-b6b6|cec7-5b5a-c47c-fe5c,"Using natural deduction, prove Q from premises ~~P. Cite the inference rule at each line (rules to use: Asm, ∧I)."
b73e-3717-861e-7b8a,nd-Asm-∧I-3,logic,2,0.318,0.6,21f1-3aa7-a74f-b6b6|cec7-5b5a-c47c-fe5c,"Using natural deduction, prove R from premises P&Q. Cite the inference rule at each line (rules to use: Asm, ∧I)."
6698-dd23-11ec-4eb3,nd-Asm-∧I-4,logic,2,0.048,0.6,21f1-3aa7-a74f-b6b6|cec7-5b5a-c47c-fe5c,"Using natural deduction, prove R from premises ~~P. Cite the inference rule at each line (rules to use: Asm, ∧I)."
d15e-7d8c-302d-51e1,nd-Asm-∧I-5,logic,2,0.686,0.6,21f1-3aa7-a74f-b6b6|cec7-5b5a-c47c-fe5c,"Using natural deduction, prove R from premises P&Q. Cite the inference rule at each line (rules to use: Asm, ∧I)."
47d0-5dab-677f-dedf,nd-Asm-∧E-0,logic,2,0.096,0.6,21f1-3aa7-a74f-b6b6|8a88-c16c-fe5d-8137,"Using natural deduction, prove P&Q from premises P, P->Q. Cite the inference rule at each line (rules to use: Asm, ∧E)."
d980-19fc-dce1-43a6,nd-Asm-∧E-1,logic,2,-0.148,0.6,21f1-3aa7-a74f-b6b6|8a88-c16c-fe5d-8137,"Using natural deduction, prove Q|R from premises P&Q. Cite the inference rule at each line (rules to use: Asm, ∧E)."
f772-0481-b0d8-85b7,nd-Asm-∧E-2,logic,2,0.346,0.6,21f1-3aa7-a74f-b6b6|8a88-c16c-fe5d-8137,"Using natural deduction, prove P from premises ~~P. Cite the inference rule at each line (rules to use: Asm, ∧E)."
6db3-ccde-5402-37db,nd-Asm-∧E-3,logic,2,0.724,0.6,21f1-3aa7-a74f-b6b6|8a88-c16c-fe5d-8137,"Using natural deduction, prove P&Q from premises P|Q, ~P. Cite the inference rule at each line (rules to use: Asm, ∧E)."
bf7a-9f26-fbc5-88b6,nd-Asm-∧E-4,logic,2,0.607,0.6,21f1-3aa7-a74f-b6b6|8a88-c16c-fe5d-8137,"Using natural deduction, prove ~P from premises ~~P. Cite the inference rule at each line (rules to use: Asm, ∧E)."
a38c-6946-1ae6-08a2,nd-Asm-∧E-5,logic,2,0.136,0.6,21f1-3aa7-a74f-b6b6|8a88-c16c-fe5d-8137,"Using natural deduction, prove R from premises ~~P. Cite the inference rule at each line (rules to use: Asm, ∧E)."
1c3f-b49a-cf2f-54f2,nd-Asm-∨I-0,logic,2,0.006,0.6,21f1-3aa7-a74f-b6b6|6095-6528-0381-fcf0,"Using natural deduction, prove ~P from premises P&Q. Cite the inference rule at each line (rules to use: Asm, ∨I)."
0901-c8b8-c5df-1d34,nd-Asm-∨I-1,logic,2,0.641,0.6,21f1-3aa7-a74f-b6b6|6095-6528-0381-fcf0,"Using natural deduction, prove P from premises P, P->Q. Cite the inference rule at each line (rules to use: Asm, ∨I)."
2c1d-3964-fb00-c890,nd-Asm-∨I-2,logic,2,0.358,0.6,21f1-3aa7-a74f-b6b6|6095-6528-0381-fcf0,"Using natural deduction, prove P&Q from premises P, Q. Cite the inference rule at each line (rules to use: Asm, ∨I)."
e30c-ed39-c05d-1d46,nd-Asm-∨I-3,logic,2,0.243,0.6,21f1-3aa7-a74f-b6b6|6095-6528-0381-fcf0,"Using natural deduction, prove Q|R from premises P|Q, ~P. Cite the inference rule at each line (rules to use: Asm, ∨I)."
5b71-dd42-de96-0df5,nd-Asm-∨I-4,logic,2,0.744,0.6,21f1-3aa7-a74f-b6b6|6095-6528-0381-fcf0,"Using natural deduction, prove Q|R from premises P&Q. Cite the inference rule at each line (rules to use: Asm, ∨I)."
fd72-12c4-5234-cc7b,nd-Asm-∨I-5,logic,2,-0.514,0.6,21f1-3aa7-a74f-b6b6|6095-6528-0381-fcf0,"Using natural deduction, prove Q from premises P, P->Q. Cite the inference rule at each line (rules to use: Asm, ∨I)."
955c-7ad8-566c-9cba,nd-Asm-∨E-0,logic,2,1.681,0.6,21f1-3aa7-a74f-b6b6|35ab-640a-90de-c87b,"Using natural deduction, prove Q|R from premises ~~P. Cite the inference rule at each line (rules to use: Asm, ∨E)."
d340-a825-d0a5-8578,nd-Asm-∨E-1,logic,2,0.181,0.6,21f1-3aa7-a74f-b6b6|35ab-640a-90de-c87b,"Using natural deduction, prove P&Q from premises P&Q. Cite the inference rule at each line (rules to use: Asm, ∨E)."
263f-9f8e-fdde-9435,nd-Asm-∨E-2,logic,2,0.682,0.6,21f1-3aa7-a74f-b6b6|35ab-640a-90de-c87b,"Using natural deduction, prove Q|R from premises P|Q, ~P. Cite the inference rule at each line (rules to use: Asm, ∨E)."
c06b-e3ee-c33a-2808,nd-Asm-∨E-3,logic,2,0.77,0.6,21f1-3aa7-a74f-b6b6|35ab-640a-90de-c87b,"Using natural deduction, prove Q|R from premises P|Q, ~P. Cite the inference rule at each line (rules to use: Asm, ∨E)."
c7ae-f812-4b02-4c5e,nd-Asm-∨E-4,logic,2,1.132,0.6,21f1-3aa7-a74f-b6b6|35ab-640a-90de-c87b,"Using natural deduction, prove Q from premises P, P->Q. Cite the inference rule at each line (rules to use: Asm, ∨E)."
7c13-3622-a31c-35c8,nd-Asm-∨E-5,logic,2,0.733,0.6,21f1-3aa7-a74f-b6b6|35ab-640a-90de-c87b,"Using natural deduction, prove ~P from premises P&Q. Cite the inference rule at each line (rules to use: Asm, ∨E)."
5130-b5b2-9533-4ee4,nd-Asm-¬I-0,logic,2,1.206,0.6,21f1-3aa7-a74f-b6b6|f9ce-053a-0cb1-a974,"Using natural deduction, prove Q|R from premises P|Q, ~P. Cite the inference rule at each line (rules to use: Asm, ¬I)."
0911-d1c6-41f3-facd,nd-Asm-¬I-1,logic,2,2.013,0.6,21f1-3aa7-a74f-b6b6|f9ce-053a-0cb1-a974,"Using natural deduction, prove Q from premises ~~P. Cite the inference rule at each line (rules to use: Asm, ¬I)."
d857-d6c5-89fb-ca4f,nd-Asm-¬I-2,logic,2,0.82,0.6,21f1-3aa7-a74f-b6b6|f9ce-053a-0cb1-a974,"Using natural deduction, prove P&Q from premises ~~P. Cite the inference rule at each line (rules to use: Asm, ¬I)."
03d8-cada-b9b2-2ab9,nd-Asm-¬I-3,logic,2,1.958,0.6,21f1-3aa7-a74f-b6b6|f9ce-053a-0cb1-a974,"Using natural deduction, prove R from premises P->Q, Q->R, P. Cite the inference rule at each line (rules to use: Asm, ¬I)."
e24f-1c5e-0dbd-5c7d,nd-Asm-¬I-4,logic,2,1.245,0.6,21f1-3aa7-a74f-b6b6|f9ce-053a-0cb1-a974,"Using natural deduction, prove P&Q from premises P, P->Q. Cite the inference rule at each line (rules to use: Asm, ¬I)."
b481-5dfd-4b6c-31e6,nd-Asm-¬I-5,logic,2,0.906,0.6,21f1-3aa7-a74f-b6b6|f9ce-053a-0cb1-a974,"Using natural deduction, prove P from premises P, P->Q. Cite the inference rule at each line (rules to use: Asm, ¬I)."
b274-bfaf-c014-e7c5,nd-Asm-⊥E-0,logic,2,0.917,0.6,21f1-3aa7-a74f-b6b6|7f62-ad43-48e0-26a3,"Using natural deduction, prove R from premises P->Q, Q->R, P. Cite the inference rule at each line (rules to use: Asm, ⊥E)."
be74-270c-5974-79d2,nd-Asm-⊥E-1,logic,2,0.753,0.6,21f1-3aa7-a74f-b6b6|7f62-ad43-48e0-26a3,"Using natural deduction, prove P from premises P|Q, ~P. Cite the inference rule at each line (rules to use: Asm, ⊥E)."
e340-9d66-7cac-e74d,nd-Asm-⊥E-2,logic,2,2.042,0.6,21f1-3aa7-a74f-b6b6|7f62-ad43-48e0-26a3,"Using natural deduction, prove Q from premises P&Q. Cite the inference rule at each line (rules to use: Asm, ⊥E)."
65aa-878f-c07a-9749,nd-Asm-⊥E-3,logic,2,1.106,0.6,21f1-3aa7-a74f-b6b6|7f62-ad43-48e0-26a3,"Using natural deduction, prove Q from premises P, P->Q. Cite the inference rule at each line (rules to use: Asm, ⊥E)."
4a72-b5e9-d293-e220,nd-Asm-⊥E-4,logic,2,1.203,0.6,21f1-3aa7-a74f-b6b6|7f62-ad43-48e0-26a3,"Using natural deduction, prove P&Q from premises ~~P. Cite the inference rule at each line (rules to use: Asm, ⊥E)."
4174-ce08-8f5b-9d56,nd-Asm-⊥E-5,logic,2,1.195,0.6,21f1-3aa7-a74f-b6b6|7f62-ad43-48e0-26a3,"Using natural deduction, prove ~P from premises P, Q. Cite the inference rule at each line (rules to use: Asm, ⊥E)."
b78b-7e72-cadc-d4e6,nd-→I-MP-0,logic,2,1.389,0.6,0ca5-0ca4-56cc-3823|c061-fca8-b5c1-d0b6,"Using natural deduction, prove P from premises P->Q, Q->R, P. Cite the inference rule at each line (rules to use: →I, MP)."
845a-8c7a-1de1-6560,nd-→I-MP-1,logic,2,0.876,0.6,0ca5-0ca4-56cc-3823|c061-fca8-b5c1-d0b6,"Using natural deduction, prove ~P from premises P|Q, ~P. Cite the inference rule at each line (rules to use: →I, MP)."
4503-e9e2-7d24-e9f1,nd-→I-MP-2,logic,2,1.623,0.6,0ca5-0ca4-56cc-3823|c061-fca8-b5c1-d0b6,"Using natural deduction, prove ~P from premises ~~P. Cite the inference rule at each line (rules to use: →I, MP)."
5b05-8304-3ac6-8449,nd-→I-MP-3,logic,2,1.38,0.6,0ca5-0ca4-56cc-3823|c061-fca8-b5c1-d0b6,"Using natural deduction, prove P from premises P&Q. Cite the inference rule at each line (rules to use: →I, MP)."
93d9-3670-46b5-7fa3,nd-→I-MP-4,logic,2,1.387,0.6,0ca5-0ca4-56cc-3823|c061-fca8-b5c1-d0b6,"Using natural deduction, prove R from premises P&Q. Cite the inference rule at each line (rules to use: →I, MP)."
a216-b06e-1c05-7421,nd-→I-MP-5,logic,2,1.17,0.6,0ca5-0ca4-56cc-3823|c061-fca8-b5c1-d0b6,"Using natural deduction, prove P&Q from premises P&Q. Cite the inference rule at each line (rules to use: →I, MP)."
af45-111a-38d3-3904,nd-→I-∧I-0,logic,2,1.077,0.6,0ca5-0ca4-56cc-3823|cec7-5b5a-c47c-fe5c,"Using natural deduction, prove R from premises P, P->Q. Cite the inference rule at each line (rules to use: →I, ∧I)."
3d86-950b-55cd-2d3a,nd-→I-∧I-1,logic,2,1.173,0.6,0ca5-0ca4-56cc-3823|cec7-5b5a-c47c-fe5c,"Using natural deduction, prove Q from premises P, P->Q. Cite the inference rule at each line (rules to use: →I, ∧I)."
4116-f441-1dce-62af,nd-→I-∧I-2,logic,2,0.759,0.6,0ca5-0ca4-56cc-3823|cec7-5b5a-c47c-fe5c,"Using natural deduction, prove R from premises P&Q. Cite the inference rule at each line (rules to use: →I, ∧I)."
9080-c89a-fa41-ff7f,nd-→I-∧I-3,logic,2,0.998,0.6,0ca5-0ca4-56cc-3823|cec7-5b5a-c47c-fe5c,"Using natural deduction, prove Q|R from premises P->Q, Q->R, P. Cite the inference rule at each line (rules to use: →I, ∧I)."
fcac-62a3-4d69-2d08,nd-→I-∧I-4,logic,2,1.553,0.6,0ca5-0ca4-56cc-3823|cec7-5b5a-c47c-fe5c,"Using natural deduction, prove Q|R from premises P->Q, Q->R, P. Cite the inference rule at each line (rules to use: →I, ∧I)."
868b-f7c2-817a-453e,nd-→I-∧I-5,logic,2,0.492,0.6,0ca5-0ca4-56cc-3823|cec7-5b5a-c47c-fe5c,"Using natural deduction, prove R from premises P, Q. Cite the inference rule at each line (rules to use: →I, ∧I)."
5a02-34ab-006d-e1be,nd-→I-∧E-0,logic,2,1.092,0.6,0ca5-0ca4-56cc-3823|8a88-c16c-fe5d-8137,"Using natural deduction, prove P from premises P->Q, Q->R, P. Cite the inference rule at each line (rules to use: →I, ∧E)."
0081-b400-b535-d431,nd-→I-∧E-1,logic,2,0.573,0.6,0ca5-0ca4-56cc-3823|8a88-c16c-fe5d-8137,"Using natural deduction, prove R from premises ~~P. Cite the inference rule at each line (rules to use: →I, ∧E)."
7751-448b-f0bf-1384,nd-→I-∧E-2,logic,2,1.313,0.6,0ca5-0ca4-56cc-3823|8a88-c16c-fe5d-8137,"Using natural deduction, prove Q from premises P, Q. Cite the inference rule at each line (rules to use: →I, ∧E)."
c69c-8471-98e7-fb4a,nd-→I-∧E-3,logic,2,1.376,0.6,0ca5-0ca4-56cc-3823|8a88-c16c-fe5d-8137,"Using natural deduction, prove R from premises P|Q, ~P. Cite the inference rule at each line (rules to use: →I, ∧E)."
f457-2b21-4b24-ed8a,nd-→I-∧E-4,logic,2,0.722,0.6,0ca5-0ca4-56cc-3823|8a88-c16c-fe5d-8137,"Using natural deduction, prove P&Q from premises P->Q, Q->R, P. Cite the inference rule at each line (rules to use: →I, ∧E)."
92e4-55c7-5e66-7563,nd-→I-∧E-5,logic,2,0.791,0.6,0ca5-0ca4-56cc-3823|8a88-c16c-fe5d-8137,"Using natural deduction, prove ~P from premises ~~P. Cite the inference rule at each line (rules to use: →I, ∧E)."
30d0-b9af-d2a5-dbe0,nd-→I-∨I-0,logic,2,0.813,0.6,0ca5-0ca4-56cc-3823|6095-6528-0381-fcf0,"Using natural deduction, prove Q|R from premises ~~P. Cite the inference rule at each line (rules to use: →I, ∨I)."
b1ce-5d7c-2802-c76f,nd-→I-∨I-1,logic,2,0.831,0.6,0ca5-0ca4-56cc-3823|6095-6528-0381-fcf0,"Using natural deduction, prove P from premises P->Q, Q->R, P. Cite the inference rule at each line (rules to use: →I, ∨I)."
14b9-152e-9df0-0e8d,nd-→I-∨I-2,logic,2,0.535,0.6,0ca5-0ca4-56cc-3823|6095-6528-0381-fcf0,"Using natural deduction, prove Q|R from premises P, P->Q. Cite the inference rule at each line (rules to use: →I, ∨I)."
03aa-3c55-b19b-bbae,nd-→I-∨I-3,logic,2,0.784,0.6,0ca5-0ca4-56cc-3823|6095-6528-0381-fcf0,"Using natural deduction, prove ~P from premises P->Q, Q->R, P. Cite the inference rule at each line (rules to use: →I, ∨I)."
bf5f-f698-e1f7-e041,nd-→I-∨I-4,logic,2,0.325,0.6,0ca5-0ca4-56cc-3823|6095-6528-0381-fcf0,"Using natural deduction, prove P from premises P, P->Q. Cite the inference rule at each line (rules to use: →I, ∨I)."
f3ca-5ba9-15d5-cf0a,nd-→I-∨I-5,logic,2,0.891,0.6,0ca5-0ca4-56cc-3823|6095-6528-0381-fcf0,"Using natural deduction, prove ~P from premises P|Q, ~P. Cite the inference rule at each line (rules to use: →I, ∨I)."
6f96-667b-5eb2-5076,nd-→I-∨E-0,logic,2,1.437,0.6,0ca5-0ca4-56cc-3823|35ab-640a-90de-c87b,"Using natural deduction, prove ~P from premises P|Q, ~P. Cite the inference rule at each line (rules to use: →I, ∨E)."
b814-41bd-92db-2ac7,nd-→I-∨E-1,logic,2,1.051,0.6,0ca5-0ca4-56cc-3823|35ab-640a-90de-c87b,"Using natural deduction, prove P&Q from premises P, Q. Cite the inference rule at each line (rules to use: →I, ∨E)."
e733-c888-87cf-afa9,nd-→I-∨E-2,logic,2,2.364,0.6,0ca5-0ca4-56cc-3823|35ab-640a-90de-c87b,"Using natural deduction, prove R from premises P->Q, Q->R, P. Cite the inference rule at each line (rules to use: →I, ∨E)."
7951-702f-a4aa-c252,nd-→I-∨E-3,logic,2,1.814,0.6,0ca5-0ca4-56cc-3823|35ab-640a-90de-c87b,"Using natural deduction, prove Q|R from premises P, P->Q. Cite the inference rule at each line (rules to use: →I, ∨E)."
5f72-8f9d-f7a0-8db4,nd-→I-∨E-4,logic,2,2.042,0.6,0ca5-0ca4-56cc-3823|35ab-640a-90de-c87b,"Using natural deduction, prove Q|R from premises P, P->Q. Cite the inference rule at each line (rules to use: →I, ∨E)."
3a28-b471-39bb-1419,nd-→I-∨E-5,logic,2,1.622,0.6,0ca5-0ca4-56cc-3823|35ab-640a-90de-c87b,"Using natural deduction, prove R from premises P, P->Q. Cite the inference rule at each line (rules to use: →I, ∨E)."
81f6-e245-356c-3346,nd-→I-¬I-0,logic,2,1.787,0.6,0ca5-0ca4-56cc-3823|f9ce-053a-0cb1-a974,"Using natural deduction, prove ~P from premises P|Q, ~P. Cite the inference rule at each line (rules to use: →I, ¬I)."
d20f-6549-72f3-fc60,nd-→I-¬I-1,logic,2,1.552,0.6,0ca5-0ca4-56cc-3823|f9ce-053a-0cb1-a974,"Using natural deduction, prove P from premises P, Q. Cite the inference rule at each line (rules to use: →I, ¬I)."
cb09-843d-24de-29aa,nd-→I-¬I-2,logic,2,1.939,0.6,0ca5-0ca4-56cc-3823|f9ce-053a-0cb1-a974,"Using natural deduction, prove Q|R from premises ~~P. Cite the inference rule at each line (rules to use: →I, ¬I)."
bd5a-39d2-e333-3d47,nd-→I-¬I-3,logic,2,1.316,0.6,0ca5-0ca4-56cc-3823|f9ce-053a-0cb1-a974,"Using natural deduction, prove P&Q from premises P|Q, ~P. Cite the inference rule at each line (rules to use: →I, ¬I)."
ad8a-0526-ef2f-d732,nd-→I-¬I-4,logic,2,1.777,0.6,0ca5-0ca4-56cc-3823|f9ce-053a-0cb1-a974,"Using natural deduction, prove Q from premises ~~P. Cite the inference rule at each line (rules to use: →I, ¬I)."
799a-2c9c-bcbc-c77c,nd-→I-¬I-5,logic,2,1.855,0.6,0ca5-0ca4-56cc-3823|f9ce-053a-0cb1-a974,"Using natural deduction, prove ~P from premises ~~P. Cite the inference rule at each line (rules to use: →I, ¬I)."
44a3-0716-5d5f-2eaa,nd-→I-⊥E-0,logic,2,1.209,0.6,0ca5-0ca4-56cc-3823|7f62-ad43-48e0-26a3,"Using natural deduction, prove ~P from premises P&Q. Cite the inference rule at each line (rules to use: →I, ⊥E)."
5d85-b45d-8071-5722,nd-→I-⊥E-1,logic,2,1.689,0.6,0ca5-0ca4-56cc-3823|7f62-ad43-48e0-26a3,"Using natural deduction, prove Q from premises P->Q, Q->R, P. Cite the inference rule at each line (rules to use: →I, ⊥E)."
6bcf-5ed1-9aaf-2732,nd-→I-⊥E-2,logic,2,2.22,0.6,0ca5-0ca4-56cc-3823|7f62-ad43-48e0-26a3,"Using natural deduction, prove Q|R from premises P, Q. Cite the inference rule at each line (rules to use: →I, ⊥E)."
cb98-2b0d-b717-8aea,nd-→I-⊥E-3,logic,2,1.756,0.6,0ca5-0ca4-56cc-3823|7f62-ad43-48e0-26a3,"Using natural deduction, prove R from premises ~~P. Cite the inference rule at each line (rules to use: →I, ⊥E)."
5e13-e529-5da7-7146,nd-→I-⊥E-4,logic,2,1.381,0.6,0ca5-0ca4-56cc-3823|7f62-ad43-48e0-26a3,"Using natural deduction, prove P from premises P->Q, Q->R, P. Cite the inference rule at each line (rules to use: →I, ⊥E)."
f0d9-1be4-468d-9f3f,nd-→I-⊥E-5,logic,2,1.576,0.6,0ca5-0ca4-56cc-3823|7f62-ad43-48e0-26a3,"Using natural deduction, prove ~P from premises P&Q. Cite the inference rule at each line (rules to use: →I, ⊥E)."
220f-48e3-22a8-dede,nd-MP-∧I-0,logic,2,0.36,0.6,c061-fca8-b5c1-d0b6|cec7-5b5a-c47c-fe5c,"Using natural deduction, prove R from premises P|Q, ~P. Cite the inference rule at each line (rules to use: MP, ∧I)."
007f-eff5-ddea-9b53,nd-MP-∧I-1,logic,2,0.226,0.6,c061-fca8-b5c1-d0b6|cec7-5b5a-c47c-fe5c,"Using natural deduction, prove Q|R from premises P&Q. Cite the inference rule at each line (rules to use: MP, ∧I)."
5221-d7bc-0ad5-0625,nd-MP-∧I-2,logic,2,0.415,0.6,c061-fca8-b5c1-d0b6|cec7-5b5a-c47c-fe5c,"Using natural deduction, prove P from premises P&Q. Cite the inference rule at each line (rules to use: MP, ∧I)."
5797-ccb9-ba59-c19c,nd-MP-∧I-3,logic,2,1.131,0.6,c061-fca8-b5c1-d0b6|cec7-5b5a-c47c-fe5c,"Using natural deduction, prove Q|R from premises P, Q. Cite the inference rule at each line (rules to use: MP, ∧I)."
9464-d6f3-c209-e08f,nd-MP-∧I-4,logic,2,0.675,0.6,c061-fca8-b5c1-d0b6|cec7-5b5a-c47c-fe5c,"Using natural deduction, prove P&Q from premises P|Q, ~P. Cite the inference rule at each line (rules to use: MP, ∧I)."
df1b-18ab-8308-4f0a,nd-MP-∧I-5,logic,2,1.176,0.6,c061-fca8-b5c1-d0b6|cec7-5b5a-c47c-fe5c,"Using natural deduction, prove Q from premises ~~P. Cite the inference rule at each line (rules to use: MP, ∧I)."
faa6-a897-4c45-afd7,nd-MP-∧E-0,logic,2,0.942,0.6,c061-fca8-b5c1-d0b6|8a88-c16c-fe5d-8137,"Using natural deduction, prove ~P from premises ~~P. Cite the inference rule at each line (rules to use: MP, ∧E)."
400d-5852-9b97-309a,nd-MP-∧E-1,logic,2,0.584,0.6,c061-fca8-b5c1-d0b6|8a88-c16c-fe5d-8137,"Using natural deduction, prove Q from premises P&Q. Cite the inference rule at each line (rules to use: MP, ∧E)."
3349-1faf-c7b0-8b82,nd-MP-∧E-2,logic,2,0.382,0.6,c061-fca8-b5c1-d0b6|8a88-c16c-fe5d-8137,"Using natural deduction, prove Q from premises ~~P. Cite the inference rule at each line (rules to use: MP, ∧E)."
d4c3-1b15-9e3e-f9eb,nd-MP-∧E-3,logic,2,0.661,0.6,c061-fca8-b5c1-d0b6|8a88-c16c-fe5d-8137,"Using natural deduction, prove P&Q from premises P->Q, Q->R, P. Cite the inference rule at each line (rules to use: MP, ∧E)."
db8e-de45-4f20-4574,nd-MP-∧E-4,logic,2,0.603,0.6,c061-fca8-b5c1-d0b6|8a88-c16c-fe5d-8137,"Using natural deduction, prove P&Q from premises P->Q, Q->R, P. Cite the inference rule at each line (rules to use: MP, ∧E)."
ca80-6f21-fd89-9c26,nd-MP-∧E-5,logic,2,0.557,0.6,c061-fca8-b5c1-d0b6|8a88-c16c-fe5d-8137,"Using natural deduction, prove ~P from premises P|Q, ~P. Cite the inference rule at each line (rules to use: MP, ∧E)."
7a75-0493-6f7c-865e,nd-MP-∨I-0,logic,2,0.775,0.6,c061-fca8-b5c1-d0b6|6095-6528-0381-fcf0,"Using natural deduction, prove R from premises ~~P. Cite the inference rule at each line (rules to use: MP, ∨I)."
6cc6-59e6-7048-e946,nd-MP-∨I-1,logic,2,1.199,0.6,c061-fca8-b5c1-d0b6|6095-6528-0381-fcf0,"Using natural deduction, prove Q from premises ~~P. Cite the inference rule at each line (rules to use: MP, ∨I)."
abc3-215d-4c7e-9b05,nd-MP-∨I-2,logic,2,0.363,0.6,c061-fca8-b5c1-d0b6|6095-6528-0381-fcf0,"Using natural deduction, prove ~P from premises P, P->Q. Cite the inference rule at each line (rules to use: MP, ∨I)."
24f7-0801-5ada-1d51,nd-MP-∨I-3,logic,2,0.363,0.6,c061-fca8-b5c1-d0b6|6095-6528-0381-fcf0,"Using natural deduction, prove ~P from premises P|Q, ~P. Cite the inference rule at each line (rules to use: MP, ∨I)."
e2d3-a2b0-24c5-0e3a,nd-MP-∨I-4,logic,2,0.585,0.6,c061-fca8-b5c1-d0b6|6095-6528-0381-fcf0,"Using natural deduction, prove R from premises P|Q, ~P. Cite the inference rule at each line (rules to use: MP, ∨I)."
ad2a-e7cc-aa38-4a75,nd-MP-∨I-5,logic,2,1.136,0.6,c061-fca8-b5c1-d0b6|6095-6528-0381-fcf0,"Using natural deduction, prove Q from premises ~~P. Cite the inference rule at each line (rules to use: MP, ∨I)."
3f92-9920-4ea9-2b13,nd-MP-∨E-0,logic,2,1.022,0.6,c061-fca8-b5c1-d0b6|35ab-640a-90de-c87b,"Using natural deduction, prove R from premises P, Q. Cite the inference rule at each line (rules to use: MP, ∨E)."
fb8b-0f87-f181-e64b,nd-MP-∨E-1,logic,2,1.246,0.6,c061-fca8-b5c1-d0b6|35ab-640a-90de-c87b,"Using natural deduction, prove P from premises ~~P. Cite the inference rule at each line (rules to use: MP, ∨E)."
b378-b05d-b182-0333,nd-MP-∨E-2,logic,2,1.626,0.6,c061-fca8-b5c1-d0b6|35ab-640a-90de-c87b,"Using natural deduction, prove P from premises ~~P. Cite the inference rule at each line (rules to use: MP, ∨E)."
